,Show,Date,Doors,Location,Address,Link
108,The Robert Cray Band,"Fri, September 09, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/433544-the-robert-cray-band
109,The King Khan & BBQ Show,"Fri, September 09, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/430099-the-king-khan-bbq-show
110,Neko Case,"Sat, September 10, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/431964-neko-case
111,Airbourne,"Sat, September 10, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/430097-airbourne
112,Streetlight Manifesto,"Sun, September 11, 2022 at 07:00 PM",06:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/429025-streetlight-manifesto
113,Melody Gardot,"Wed, September 14, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/429907-melody-gardot
114,Big Wild,"Wed, September 14, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/437372-big-wild
115,Brett Eldredge,"Fri, September 16, 2022 at 07:30 PM",06:30 PM,Xcite Center at Parx Casino,"2999 Street Road, Bensalem, PA 19020",https://www.bowerypresents.com/greater-philly/shows/detail/433084-brett-eldredge
116,Echo & The Bunnymen,"Fri, September 16, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/434828-echo-the-bunnymen
117,The Afghan Whigs,"Fri, September 16, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/433103-the-afghan-whigs
118,Meshuggah,"Sat, September 17, 2022 at 08:00 PM",07:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/406367-meshuggah
119,SALES,"Sat, September 17, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/426566-sales
120,Julia Jacklin,"Sat, September 17, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/433845-julia-jacklin
121,Enter Shikari,"Sun, September 18, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/407744-enter-shikari
122,Ezra Furman,"Sun, September 18, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/427197-ezra-furman
123,Spiritualized®,"Thu, September 22, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/428082-spiritualized-r
124,Bonobo,"Fri, September 23, 2022 at 08:00 PM",07:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/414112-bonobo
125,Girlpool,"Fri, September 23, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/431346-girlpool
126,Miss May I,"Sat, September 24, 2022 at 12:00 AM",10:49 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/436324-miss-may-i
127,Heaven 17,"Sat, September 24, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/428799-heaven-17
128,Peabo Bryson & Oleta Adams,"Sun, September 25, 2022 at 07:00 PM",06:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/417475-peabo-bryson-oleta-adams
129,Sibling Rivalry Tour,"Sun, September 25, 2022 at 08:00 PM",07:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/433445-sibling-rivalry-tour
130,Osees,"Mon, September 26, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/423644-osees
131,Jukebox the Ghost,"Wed, September 28, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/436638-jukebox-the-ghost
132,Billy Bragg,"Sat, October 01, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/431431-billy-bragg
133,Tinariwen,"Sat, October 01, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/435997-tinariwen
134,RY X,"Sun, October 02, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/430628-ry-x
